timestamp,motor_rpm,spool_rpm,total_turns_motor,total_turns_spool,cable_length,switch_active,z_ref,current
0.5237996578216553,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
0.6259026527404785,1.2651140615344048,0.0,0.0012767910957336426,0.0,0.0,False,0.0,0.0
0.7279040813446045,0.011181315639987588,0.0,0.0013332366943359375,0.0,0.0,False,0.0,0.0
0.829913854598999,0.8082453534007072,0.0,0.0013590455055236816,0.0,0.0,False,0.0,0.0
0.931936502456665,1.4461643993854523,0.0,0.0013856887817382812,0.0,0.0,False,0.0,0.0
1.033940076828003,-1.297735534608364,0.0,0.0015407800674438477,0.0,0.0,False,0.0,0.0
1.1357934474945068,-1.6584932059049606,0.0,0.0016848444938659668,0.0,0.0,False,0.0,-0.0011213384568691254
1.2371625900268555,-0.9177564829587936,0.0,0.0017151832580566406,0.0,0.0,False,0.0,-0.013383140787482262
1.3384954929351807,-0.8690297417342663,0.0,0.0017516613006591797,0.0,0.0,False,0.0,-0.019218912348151207
1.439847469329834,-0.7849877513945103,0.0,0.0017715096473693848,0.0,0.0,False,0.0,-0.012326614931225777
1.540945291519165,0.7554946839809418,0.0,0.001792609691619873,0.0,0.0,False,0.0,-0.016311822459101677
1.642568588256836,-1.9311851263046265,0.0,0.0020642876625061035,0.0,0.0,False,0.0,-0.05006403475999832
1.7436633110046387,0.4403349291533232,0.0,0.0021252036094665527,0.0,0.0,False,0.0,-0.018641894683241844
1.8449556827545166,-0.42735982686281204,0.0,0.002167046070098877,0.0,0.0,False,0.0,-0.03806537017226219
1.946657657623291,3.07739295065403,0.0,0.002309560775756836,0.0,0.0,False,0.0,-0.020391633734107018
2.0479953289031982,-0.47251006588339806,0.0,0.002323448657989502,0.0,0.0,False,0.0,-0.04203856736421585
2.1493723392486572,1.1654254049062729,0.0,0.0024759769439697266,0.0,0.0,False,0.0,-0.03871849179267883
2.2507245540618896,0.1569149550050497,0.0,0.0024856925010681152,0.0,0.0,False,0.0,-0.043449144810438156
2.352109432220459,0.20027740392833948,0.0,0.002656698226928711,0.0,0.0,False,0.0,-0.05095980316400528
2.453439235687256,-1.717502698302269,0.0,0.0027170777320861816,0.0,0.0,False,0.0,-0.06762602925300598
2.5551719665527344,0.8592065423727036,0.0,0.0028382539749145508,0.0,0.0,False,0.0,-0.0456872284412384
2.657031774520874,-1.6906799376010895,0.0,0.0029100775718688965,0.0,0.0,False,0.0,-0.06868229061365128
2.7589406967163086,-0.11488266522064805,0.0,0.002933323383331299,0.0,0.0,False,0.0,-0.050566915422677994
2.861077308654785,2.804255336523056,0.0,0.0029398202896118164,0.0,0.0,False,0.0,-0.02123747579753399
2.9622621536254883,0.1864186953753233,0.0,0.004099607467651367,0.0,0.0,False,0.0,-0.08541954308748245
3.0633351802825928,1.9329842180013657,0.0,0.0042136311531066895,0.0,0.0,False,0.0,-0.08715818077325821
3.164598226547241,1.9356666505336761,0.0,0.004664182662963867,0.0,0.0,False,0.0,-0.05938929319381714
3.265989065170288,-1.0697487741708755,0.0,0.004767119884490967,0.0,0.0,False,0.0,-0.10840532928705215
3.368015766143799,0.9338618069887161,0.0,0.004947543144226074,0.0,0.0,False,0.0,-0.08371298015117645
3.469672203063965,0.5301890708506107,0.0,0.005008101463317871,0.0,0.0,False,0.0,-0.08604614436626434
3.571373224258423,1.197611689567566,0.0,0.005249977111816406,0.0,0.0,False,0.0,-0.07252936065196991
3.673091411590576,-1.367473416030407,0.0,0.005330026149749756,0.0,0.0,False,0.0,-0.09475277364253998
3.7744483947753906,1.624978445470333,0.0,0.005407452583312988,0.0,0.0,False,0.0,-0.08270208537578583
3.8761579990386963,0.4309482593089342,0.0,0.005446493625640869,0.0,0.0,False,0.0,-0.07332174479961395
3.9772346019744873,-0.6656280532479286,0.0,0.0055460333824157715,0.0,0.0,False,0.0,-0.08184802532196045
4.078508615493774,-3.1824342906475067,0.0,0.005693495273590088,0.0,0.0,False,0.0,-0.11973248422145844
